カテゴリ,項目,習得度
注射室業務,8:30-11:00の業務がわかる,3
注射室業務,定時の最終発行時間がわかる,5
注射室業務,外来の最終発行時間がわかる,4
注射室業務,削除せん処理の時間がわかる,1
注射室業務,転倒処理の時間がわかる,5
注射室業務,休前日や長期連休の場合は、何日分まで発行するかわかる（定時・化学療法・外来）,2
注射室業務,「定時」の定義がわかる,3
注射室業務,「緊急」の定義がわかる,3
注射室業務,「修正」の定義がわかる,3
注射室業務,「削除」の定義がわかる,3
注射室業務,「入院必要時」の定義がわかる,4
注射室業務,「入院先渡」の定義がわかる,4
注射室業務,「入院化療」の定義がわかる,4
注射室業務,「無菌入院化療」の定義がわかる,3
注射室業務,「外来」の定義がわかる,4
注射室業務,「外来必要時」の定義がわかる,4
注射室業務,「外来先渡」の定義がわかる,4
注射室業務,「外来化療」の定義がわかる,4
注射室業務,「麻薬注射」の定義がわかる,3
注射室業務,検品ができる、欠品連絡票を知っている（基本的に事務員が実施）,1
注射室業務,物流システムによる払出し運用がわかる,2
注射室業務,分割使用する薬剤があることを知っている,1
注射室業務,部門システムと物流システムの連携についてわかる,1
注射室業務,特殊な常備薬(トリクロリールシロップ・白色ワセリン・インフルエンザワクチン)の払出がわかる,1
注射室業務,「ストック返し」の運用がわかる,3
注射室業務,「ストック返し」の発行ができる（外来ストック返し・救外ストック返し・病棟ストック返し）,1
注射室業務,「ストック返し」の取り集めができる,3
注射室業務,「ストック返し」取り集め後の鑑査ができる,4
注射室業務,定時発行手順（休前日・休日2日前以外の平日）を知っている,1
注射室業務,定時発行手順（木曜日(休日2日前)）を知っている,1
注射室業務,定時発行手順（2連休以上の休前日（金曜日））を知っている,1
注射室業務,定時発行手順（休前日（翌日のみ休日））を知っている,1
注射室業務,取り集めができる,3
注射室業務,取り集め後の鑑査ができる,3
注射室業務,不足が生じた場合の対応がわかる,2
注射室業務,不足分が納品された後の対応がわかる,2
注射室業務,定時注射の調剤ができる,4
注射室業務,IRISでのチェック項目を確認できる,4
注射室業務,薬剤コメントがある場合にそれをチェックできる,4
注射室業務,疑義が生じた場合は、疑義照会を行える,4
注射室業務,疑義照会の結果を疑義照会システムに入力できる,5
注射室業務,特記コメントを確認できる,5
注射室業務,特記コメントを入力できる,5
注射室業務,定時注射の鑑査ができる,2
注射室業務,鑑査後の生食シリンジや生食2L、冷所品、7西のフィルグラスチムの処理ができる,3
注射室業務,当日払い出さないカートの注意事項がわかる,1
注射室業務,カートの搬送時間がわかる,1
注射室業務,カートの上にものを載せる場合の注意事項がわかる,1
注射室業務,定時分の向精神薬や筋弛緩薬の払い出し方法がわかる,1
注射室業務,緊急・必要時の払い出しができる,2
注射室業務,薬剤の送付ができる,1
注射室業務,未来日外来の調剤ができる,3
注射室業務,未来日外来の鑑査ができる,1
注射室業務,未来日外来の鑑査後の処理方法がわかる,1
注射室業務,当日外来の払い出しができる,1
注射室業務,化学療法のうち、薬剤科でミキシングするものがわかる,1
注射室業務,レジメンチェックができる,1
注射室業務,外来化学療法の発行ができる,2
注射室業務,外来化学療法の調剤ができる,2
注射室業務,外来化学療法の併用レジメンの対応がわかる,2
注射室業務,外来化学療法の鑑査ができる,1
注射室業務,入院化療の発行ができる,1
注射室業務,「入院化療確定患者一覧」、「入院化療病棟一覧」を印刷できる,2
注射室業務,入院化療の調剤ができる,3
注射室業務,「入院化療確定患者一覧」の記載ができる,3
注射室業務,入院化療のリマインダーが必要なものの実施ができる,2
注射室業務,入院化療の鑑査ができる,1
注射室業務,無菌化療の発行ができる,2
注射室業務,無菌化療の調剤ができる,2
注射室業務,無菌化療で、安定性が低い薬剤には札をつけられる,1
注射室業務,無菌化療の鑑査ができる,2
注射室業務,化学療法の修正・中止についてわかる,1
注射室業務,返却薬や廃棄薬の対処がわかる,2
注射室業務,終了業務：削除せんの処理ができる,3
注射室業務,終了業務：電子カルテ承認一覧(注射)で「否認」の確認ができる,1
注射室業務,終了業務：足分出庫伝票に書かれている薬剤や未出庫分クリップの伝票の確認ができる,1
注射室業務,終了業務：ボトックス失活のTELきたことを管理台帳にて確認できる,2
注射室業務,終了業務：翌日分の化療の未発行がないことを確認できる,4
注射室業務,終了業務：日当直帯（平日0時～8時30分、休日）に開始になるレジメンがないか一覧表をもとに確認できる,4
注射室業務,終了業務：転棟処理ができる,4
注射室業務,終了業務：内視鏡、心血管造影室、中央処置室の向精神薬・毒薬の補充・チェックができる,4
注射室業務,終了業務：カートの鍵を閉められる,4
注射室業務,ピッキングマシンに薬剤を補充できる,1
注射室業務,冷所のピッキングマシン搭載カセットがあることを知っている,1
注射室業務,特定生物由来製品および血液製剤代替医薬品の調剤・鑑査ができる,1
注射室業務,ストック返しに向精神薬（第一種、第二種）・筋弛緩薬・毒薬があった場合の対応がわかる,2
注射室業務,毒薬管理システムでの例外払い出しの方法がわかる,1
