日時,カテゴリー,判定,問題文,自分の回答,正解
2026-02-18 01:51:16,調剤室業務,正解,インシデント報告は、個人の責任を追及するためではなく、システムの欠陥を見つけるために行う。,〇,〇
2026-02-18 01:51:19,調剤室業務,正解,処方箋に「★」印がある薬剤は、原則として外来窓口での指導が必要な薬剤である。,〇,〇
2026-02-18 01:51:22,調剤室業務,正解,水剤の調剤で、沈殿が生じやすい薬剤は「振盪（しんとう）後服用」のラベルを貼る。,〇,〇
2026-02-18 01:51:23,調剤室業務,正解,水剤ボトルのキャップが緩んでいないか、交付前に再確認する。,〇,〇
2026-02-18 01:51:25,調剤室業務,不正解,散剤の自動分包機は、使用後、毎回清掃する必要はない。,〇,×
2026-02-18 01:51:27,調剤室業務,正解,麻薬金庫の鍵は、決まった管理者が肌身離さず保管する。,〇,〇
2026-02-18 01:51:29,調剤室業務,正解,記号「◎」は簡易懸濁が可能であることを示している。,〇,〇
2026-02-18 01:51:31,調剤室業務,正解,薬袋の氏名が、健康保険証の表記と一致しているか確認する。,〇,〇
2026-02-18 01:51:33,調剤室業務,不正解,計数調剤において、ヒートから取り出したバラ錠は、直接手に触れて計数してもよい。,〇,×
2026-02-18 01:51:35,調剤室業務,正解,分包紙のセット時、前後を逆にすると印字がされないため向きを確認する。,〇,〇
2026-02-18 02:05:17,調剤室業務,正解,複数の規格（5mgと10mg等）がある薬品は、棚札の色を変える等の工夫をする。,〇,〇
2026-02-18 02:05:20,調剤室業務,正解,錠剤の端数（バラ錠）は、専用の手撒き用ケースに入れて分包機にセットする。,〇,〇
2026-02-18 02:05:21,調剤室業務,正解,調剤室内で発生した「小さなミス」も、チーム内で共有し、マニュアルを更新する材料にする。,〇,〇
2026-02-18 02:05:23,調剤室業務,正解,処方箋発行機が詰まった場合、無理に引っ張らずカバーを開けて取り除く。,〇,〇
2026-02-18 02:05:25,調剤室業務,正解,劇薬の保管棚が施錠されていない場合は、速やかに管理者に報告し改善する。,〇,〇
2026-02-18 02:05:27,調剤室業務,正解,毒薬を保管する棚は、黒地に白枠、白文字で「毒」と表示する。,〇,〇
2026-02-18 02:05:29,調剤室業務,不正解,麻薬は他の医薬品と一緒に一般の棚で保管してもよい。,〇,×
2026-02-18 02:05:30,調剤室業務,正解,点眼薬を交付する際、1滴の出し方や保管方法を説明する。,〇,〇
2026-02-18 02:05:33,調剤室業務,不正解,散剤の監査において、鑑査者が確認すべき最も重要な事項はどれか。,1,2
2026-02-18 02:05:35,調剤室業務,正解,冷蔵庫の温度が設定範囲（2〜8℃等）を超えた場合、ログを記録し上長に報告する。,〇,〇
2026-02-18 20:36:05,精神神経・筋疾患,不正解,リチウム製剤（リーマス等）の併用により、リチウムの血中濃度を上昇させ中毒リスクを高める降圧薬の系統を1つ答えよ。,False,ACE阻害薬（またはARB、利尿薬）
2026-02-18 20:39:23,精神神経・筋疾患,正解,睡眠薬の服用後は、ふらつきによる転倒のリスクが高まるため、高齢者には特に注意が必要である。,〇,〇
